ID;Name;Designator;Footprint;Quantity;Manufacturer Part;Manufacturer;Supplier;Supplier Part;Price
1;100nF;C1,C2,C3;C0603;3;CL10B104KC8NNNC;SAMSUNG(三星);LCSC;C15725;0.008
2;2.2uF;C4,C5;C0603;2;CL10A225KB8NNNC;SAMSUNG(三星);LCSC;C913904;0.023
3;SiPM;D1;MICROFC−60035−SMT;1;;ON Semiconductor;Mouser;863-MFC60035SMTTR1;
4;MMBT5088LT1G;Q1,Q2;SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR;2;MMBT5088LT1G;onsemi(安森美);LCSC;C232555;0.072
5;49.9Ω;R1,R2;R0603;2;0603WAF499JT5E;UNI-ROYAL(厚声);LCSC;C23185;0.001
6;49.9kΩ;R3,R4;R0603;2;RT0603BRD0749K9L;YAGEO(国巨);LCSC;C705780;0.025
7;24kΩ;R5;R0603;1;AR03BTCX2402;Viking(光颉);LCSC;C319717;0.031
8;10KΩ;R6;R0603;1;NTCS0603E3103FLT;VISHAY(威世);LCSC;C142556;0.539
9;TPS7B6950DBVR;U1;SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL;1;TPS7B6950DBVR;TI(德州仪器);LCSC;C174327;0.376
